customer_id,segment,age,preferred_channel,signup_date,_loyalty,_basket_mean
1,loyal_vip,49.0,mobile_app,2024-08-27,0.85,120
2,regular,31.0,web,2024-10-12,0.6,55
3,regular,56.0,mobile_app,2024-06-16,0.6,55
4,bargain_hunter,43.0,mobile_app,2024-09-03,0.35,25
5,regular,31.0,web,2024-11-27,0.6,55
6,regular,18.0,mobile_app,2024-02-18,0.6,55
7,bargain_hunter,38.0,web,2024-02-27,0.35,25
8,bargain_hunter,76.0,web,2024-01-16,0.35,25
9,bargain_hunter,37.0,mobile_app,2024-08-06,0.35,25
10,regular,18.0,mobile_app,2024-07-25,0.6,55
11,bargain_hunter,37.0,web,2024-04-09,0.35,25
12,loyal_vip,54.0,mobile_app,2024-12-05,0.85,120
13,regular,26.0,web,2024-07-05,0.6,55
14,regular,42.0,mobile_app,2024-08-17,0.6,55
15,one_off,58.0,web,2024-08-26,0.1,40
16,regular,29.0,web,2024-08-02,0.6,55
17,bargain_hunter,28.0,mobile_app,2024-06-01,0.35,25
18,bargain_hunter,32.0,mobile_app,2024-10-20,0.35,25
19,regular,46.0,web,2024-04-06,0.6,55
20,loyal_vip,37.0,web,2024-07-24,0.85,120
21,bargain_hunter,46.0,mobile_app,2024-06-12,0.35,25
22,regular,53.0,in_store,2024-08-05,0.6,55
23,regular,33.0,web,2024-07-29,0.6,55
24,regular,,web,2024-11-05,0.6,55
25,loyal_vip,27.0,mobile_app,2024-07-29,0.85,120
26,loyal_vip,26.0,mobile_app,2024-10-11,0.85,120
27,loyal_vip,37.0,web,2024-03-26,0.85,120
28,regular,27.0,mobile_app,2024-04-15,0.6,55
29,loyal_vip,36.0,in_store,2024-07-03,0.85,120
30,bargain_hunter,,web,2024-06-11,0.35,25
31,regular,43.0,in_store,2024-05-22,0.6,55
32,loyal_vip,38.0,mobile_app,2024-01-23,0.85,120
33,regular,26.0,in_store,2024-02-17,0.6,55
34,bargain_hunter,26.0,web,2024-09-06,0.35,25
35,regular,43.0,mobile_app,2024-01-31,0.6,55
36,bargain_hunter,21.0,web,2024-11-06,0.35,25
37,loyal_vip,42.0,web,2024-08-17,0.85,120
