customer_id,segment,age,preferred_channel,frequency,monetary_total,monetary_avg,monetary_std,n_channels,n_categories,recency_days,active_span_days,tenure_days,churned
1,loyal_vip,49.0,mobile_app,10.0,1114.42,111.44200000000001,44.16685001219807,3.0,5.0,5.0,122.0,127,0
2,regular,31.0,web,8.0,325.92,40.74,26.58240986603198,3.0,4.0,4.0,75.0,81,0
3,regular,56.0,mobile_app,12.0,710.41,59.20083333333333,50.27088430029189,3.0,4.0,15.0,180.0,199,0
4,bargain_hunter,43.0,mobile_app,2.0,20.58,10.29,1.2586500705120536,2.0,2.0,65.0,27.0,120,1
5,regular,31.0,web,6.0,279.43,46.571666666666665,35.423965569465345,3.0,4.0,3.0,27.0,35,1
6,regular,18.0,mobile_app,13.0,659.4399999999999,50.72615384615384,45.48579971420779,3.0,5.0,13.0,263.0,318,0
7,bargain_hunter,38.0,web,2.0,51.11,25.555,5.451793282948282,2.0,2.0,211.0,11.0,309,1
8,bargain_hunter,76.0,web,11.0,359.71999999999997,32.701818181818176,19.082143390186445,3.0,5.0,70.0,279.0,351,0
9,bargain_hunter,37.0,mobile_app,3.0,30.310000000000002,10.103333333333333,2.6312227829154518,2.0,3.0,33.0,28.0,148,0
10,regular,18.0,mobile_app,6.0,329.39,54.89833333333333,36.297794652935416,3.0,4.0,33.0,114.0,160,1
11,bargain_hunter,37.0,web,7.0,140.46,20.065714285714286,12.033883907731614,3.0,3.0,1.0,265.0,267,1
12,loyal_vip,54.0,mobile_app,2.0,122.9,61.45,18.809040379562163,2.0,2.0,13.0,13.0,27,1
13,regular,26.0,web,9.0,528.62,58.73555555555556,45.92927691329113,2.0,4.0,55.0,116.0,180,1
14,regular,42.0,mobile_app,8.0,458.69,57.33625,40.14432247262014,3.0,4.0,19.0,108.0,137,0
15,one_off,58.0,web,2.0,31.89,15.945,12.57942963730868,2.0,1.0,110.0,13.0,128,1
16,regular,29.0,web,6.0,315.40999999999997,52.56833333333333,24.738504737891226,2.0,3.0,19.0,115.0,152,1
17,bargain_hunter,28.0,mobile_app,8.0,241.83,30.22875,20.20430395272962,3.0,5.0,43.0,112.0,214,1
18,bargain_hunter,32.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73,1
19,regular,46.0,web,13.0,497.71000000000004,38.285384615384615,24.21962758294211,3.0,5.0,31.0,185.0,270,0
20,loyal_vip,37.0,web,26.0,2864.63,110.17807692307693,71.25998591182744,3.0,5.0,3.0,155.0,161,0
21,bargain_hunter,46.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,203,1
22,regular,53.0,in_store,10.0,831.29,83.12899999999999,82.10330450109788,3.0,3.0,2.0,147.0,149,0
23,regular,33.0,web,7.0,283.81,40.544285714285714,34.27071775201237,3.0,4.0,3.0,132.0,156,0
24,regular,,web,4.0,205.09,51.2725,18.138771320020545,3.0,3.0,9.0,46.0,57,0
25,loyal_vip,27.0,mobile_app,23.0,3088.78,134.29478260869567,78.17174273642996,3.0,5.0,13.0,136.0,156,0
26,loyal_vip,26.0,mobile_app,10.0,1716.11,171.611,113.00608454120217,3.0,5.0,4.0,59.0,82,0
